event,sym,bars,first,bars_exm1,bars_ex,vol_ex
rAVGO-2026-06-22-1,RAVGOUSDT,2888,2026-06-19 00:00:00+00:00,2,1431,7941611330.106005
rAVL-2026-06-23-1,RAVLUSDT,3079,2026-06-22 00:01:00+00:00,1030,1087,26157799.810792513
rCRCA-2026-06-24-1,RCRCAUSDT,3954,2026-06-22 00:00:00+00:00,1072,972,20963977.678072527
rFTGC-2026-06-25-1,RFTGCUSDT,1937,2026-06-22 01:52:00+00:00,404,378,32669942.277475998
rLABD-2026-06-23-1,RLABDUSDT,1927,2026-06-22 01:01:00+00:00,653,683,62255492.845842734
rPSQ-2026-06-24-1,RPSQUSDT,3284,2026-06-22 00:03:00+00:00,968,863,204197508.37603003
rSOXS-2026-06-23-1,RSOXSUSDT,0,,0,0,0.0
rSPXU-2026-06-24-1,RSPXUUSDT,3796,2026-06-22 00:00:00+00:00,1055,911,408643579.0566188
rSQQQ-2026-06-24-1,RSQQQUSDT,5696,2026-06-22 00:00:00+00:00,1439,1425,2918494406.4567413
rSTM-2026-06-23-1,RSTMUSDT,3250,2026-06-22 00:03:00+00:00,1086,1147,878350200.6724186
rTQQQ-2026-06-24-1,RTQQQUSDT,5761,2026-06-22 00:00:00+00:00,1440,1440,5453249751.288149
rTZA-2026-06-23-1,RTZAUSDT,0,,0,0,0.0
rUPRO-2026-06-24-1,RUPROUSDT,4714,2026-06-22 00:00:00+00:00,1299,1078,312018208.51150084
rVOO-2026-06-26-1,RVOOUSDT,5626,2026-06-23 00:00:00+00:00,1384,1417,4024031507.230382
rVST-2026-06-22-1,RVSTUSDT,2145,2026-06-19 00:00:00+00:00,0,1002,629689704.492032
rVTV-2026-06-26-1,RVTVUSDT,2228,2026-06-23 01:08:00+00:00,550,558,514379195.2833576
rYANG-2026-06-23-1,RYANGUSDT,2173,2026-06-22 00:04:00+00:00,639,794,25840064.885136604
rYINN-2026-06-23-1,RYINNUSDT,2327,2026-06-22 08:00:00+00:00,702,786,42535977.95909217
rDGRW-2026-06-25-1,RDGRWUSDT,2299,2026-06-22 00:01:00+00:00,475,447,76323989.10227995
rSCHD-2026-06-24-1,RSCHDUSDT,5223,2026-06-22 00:00:00+00:00,1346,1394,604724667.1865307
rKO-2026-06-15-1,RKOUSDT,3847,2026-06-12 00:00:00+00:00,0,1333,1062833783.8499228
rCRM-2026-06-11-1,RCRMUSDT,5476,2026-06-08 00:00:00+00:00,1104,1107,2458950733.6400957
rPAVE-2026-06-29-1,RPAVEUSDT,1556,2026-06-26 00:00:00+00:00,0,508,83010223.53024344
rFLQL-2026-06-26-1,RFLQLUSDT,982,2026-06-23 13:30:00+00:00,244,250,37363819.36208397
rHYS-2026-07-01-1,RHYSUSDT,1323,2026-06-29 13:30:00+00:00,374,314,10213026.371325662
rSTX-2026-06-24-1,RSTXUSDT,5117,2026-06-22 00:00:00+00:00,1325,1155,3678265132.383842
rSGOV-2026-07-01-1,RSGOVUSDT,4600,2026-06-29 00:00:00+00:00,1068,1178,3846226484.4756784
