event_id,symbol,underlying,ex_date,reality_amount,basis_before,basis_after,tier,issuer_declared,issuer_realised,perp_notice,calendar_ex_date,prior_realised,evidence,reason
rADI-2026-06-02-1,rADI,ADI,2026-06-02,1.1000000000000000,UNRESOLVED,GROSS,2,1.10,1.1,,,1.1 ex 2026-03-03,nasdaq_declared: 1.10 ex 2026-06-02 declared 05/19/2026 (third-party); yahoo_realised: 1.1 ex 2026-06-02 (third-party),tier 2
rAAON-2026-06-05-1,rAAON,AAON,2026-06-05,0.1000000000000000,UNRESOLVED,GROSS,2,0.10,0.1,,,0.1 ex 2026-03-18,nasdaq_declared: 0.10 ex 2026-06-05 declared 05/12/2026 (third-party); yahoo_realised: 0.1 ex 2026-06-05 (third-party),tier 2
rABEV-2026-06-24-1,rABEV,ABEV,2026-06-24,0.0057280000000000,UNRESOLVED,UNRESOLVED,,,0.009,,,,,amount conflict: yahoo_realised 0.009 vs Reality 0.0057280000000000 (ratio 0.636)
rA-2026-06-30-1,rA,A,2026-06-30,0.2550000000000000,UNRESOLVED,GROSS,2,,0.255,,,0.255 ex 2026-03-31,yahoo_realised: 0.255 ex 2026-06-30 (third-party),tier 2
rABCB-2026-06-30-1,rABCB,ABCB,2026-06-30,0.2000000000000000,UNRESOLVED,GROSS,2,,0.2,,,0.2 ex 2026-03-31,yahoo_realised: 0.2 ex 2026-06-30 (third-party),tier 2
rADC-2026-06-30-1,rADC,ADC,2026-06-30,0.2670000000000000,UNRESOLVED,GROSS,2,,0.267,,,0.267 ex 2026-05-29,yahoo_realised: 0.267 ex 2026-06-30 (third-party),tier 2
rACM-2026-07-01-1,rACM,ACM,2026-07-01,0.3100000000000000,UNRESOLVED,GROSS,2,,0.31,,,0.31 ex 2026-04-01,yahoo_realised: 0.31 ex 2026-07-01 (third-party),tier 2
rACN-2026-07-09-1,rACN,ACN,2026-07-09,1.6300000000000000,UNRESOLVED,GROSS,2,,1.63,,,1.63 ex 2026-04-09,yahoo_realised: 1.63 ex 2026-07-09 (third-party),tier 2
rABBV-2026-07-15-1,rABBV,ABBV,2026-07-15,1.7300000000000000,UNRESOLVED,GROSS,2,,1.73,,,1.73 ex 2026-04-15,yahoo_realised: 1.73 ex 2026-07-15 (third-party),tier 2
rABT-2026-07-15-1,rABT,ABT,2026-07-15,0.6300000000000000,UNRESOLVED,GROSS,2,,0.63,,,0.63 ex 2026-04-15,yahoo_realised: 0.63 ex 2026-07-15 (third-party),tier 2
rACI-2026-07-24-1,rACI,ACI,2026-07-24,0.1700000000000000,UNRESOLVED,GROSS,2,,0.17,,,0.17 ex 2026-04-24,yahoo_realised: 0.17 ex 2026-07-24 (third-party),tier 2
rADC-2026-07-31-1,rADC,ADC,2026-07-31,0.2670000000000000,UNRESOLVED,GROSS,2,,0.267,,,0.267 ex 2026-06-30,yahoo_realised: 0.267 ex 2026-07-31 (third-party),tier 2
