event_id,symbol,event_type,ex_date,decision_ts,t0_price,t1_overnight_2000_ts,t1_premarket_0400_ts,gross_dividend,gross_dividend_source,gross_dividend_published_ts,gross_known_before_decision,withholding_source,withholding_published_ts,withholding_known_before_decision,fee_schedule_in_force,fee_rate,cost_assumption,eligible_ex_ante,exclusion_reason
rBITI-2026-06-01-1,rBITI,CASH_DIV,2026-06-01,,,,,0.238113,yahoo_realised,2026-09-17T01:42:15.842768+00:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rBITO-2026-06-01-1,rBITO,CASH_DIV,2026-06-01,,,,,0.014114,yahoo_realised,2026-09-17T01:42:17.984449+00:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rCLOI-2026-06-01-1,rCLOI,CASH_DIV,2026-06-01,,,,,0.2234,yahoo_realised,2026-09-17T01:42:22.213183+00:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rHYS-2026-06-01-1,rHYS,CASH_DIV,2026-06-01,,,,,0.57,yahoo_realised,2026-09-17T01:42:56.831785+00:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rSATA-2026-06-01-1,rSATA,CASH_DIV,2026-06-01,,,,,1.0833,other:nasdaq_declared,2026-05-13T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rSGOV-2026-06-01-1,rSGOV,CASH_DIV,2026-06-01,,,,,0.299492,yahoo_realised,2026-09-17T01:43:45.134910+00:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rTLT-2026-06-01-1,rTLT,CASH_DIV,2026-06-01,,,,,0.335777,other:nasdaq_declared,2026-05-29T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rBABA-2026-06-11-1,rBABA,CASH_DIV,2026-06-11,2026-06-10T23:59:00+00:00,114.98,2026-06-11T00:00:00+00:00,2026-06-11T08:00:00+00:00,1.03,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rCRM-2026-06-11-1,rCRM,CASH_DIV,2026-06-11,2026-06-10T23:59:00+00:00,170.125,2026-06-11T00:00:00+00:00,2026-06-11T08:00:00+00:00,0.44,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rTSM-2026-06-11-1,rTSM,CASH_DIV,2026-06-11,2026-06-10T23:59:00+00:00,407.055,2026-06-11T00:00:00+00:00,2026-06-11T08:00:00+00:00,0.742067,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
