event_id,symbol,underlying,ex_date,decision_ts,ledger_gross_dividend,ledger_announcement_date,api_announcement_date,api_gross_dividend,audit_status,primary_review_status,source_fetched_at,predecision_publication_verified,primary_source_url,primary_source_published_date,primary_declared_amount
rBABA-2026-06-11-1,rBABA,BABA,2026-06-11,2026-06-10T23:59:00+00:00,1.03,2026-05-13,2026-05-13,1.0300000000000000,PRE_DECISION_DATE_CANDIDATE,PRIMARY_AMOUNT_MISMATCH,2026-09-23T05:32:01.246187+00:00,NO,https://www.alibabagroup.com/en-US/document-1991364841188622336,2026-05-13,1.05
rCRM-2026-06-11-1,rCRM,CRM,2026-06-11,2026-06-10T23:59:00+00:00,0.44,2026-05-28,2026-05-28,0.4400000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investor.salesforce.com/news/news-details/2026/Salesforce-Announces-Quarterly-Dividend/default.aspx,2026-05-28,0.44
rTSM-2026-06-11-1,rTSM,TSM,2026-06-11,2026-06-10T23:59:00+00:00,0.742067,2026-02-10,2026-02-10,0.7420670000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rKO-2026-06-15-1,rKO,KO,2026-06-15,2026-06-12T23:59:00+00:00,0.53,2026-04-30,2026-04-30,0.5300000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investors.coca-colacompany.com/_assets/_014b8b8f047681531f8b5adc4eb10f2d/cocacolacompany/news/2026-04-30_Board_of_Directors_of_The_Coca_Cola_Company_1159.pdf,2026-04-30,0.53
rMO-2026-06-15-1,rMO,MO,2026-06-15,2026-06-12T23:59:00+00:00,1.06,2026-05-14,2026-05-14,1.0600000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investor.altria.com/press-releases/news-details/2026/Altria-Holds-2026-Annual-Meeting-of-Shareholders-Declares-Regular-Quarterly-Dividend-of-1-06-Per-Share/default.aspx,2026-05-14,1.06
rGEV-2026-06-16-1,rGEV,GEV,2026-06-16,2026-06-15T23:59:00+00:00,0.5,2026-05-19,2026-05-19,0.5000000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://www.gevernova.com/news/print/pdf/node/144094,2026-05-19,0.50
rHPE-2026-06-16-1,rHPE,HPE,2026-06-16,2026-06-15T23:59:00+00:00,0.1425,2026-06-01,2026-06-01,0.1425000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investors.hpe.com/stock/dividend-history,2026-06-01,0.1425
rLRCX-2026-06-17-1,rLRCX,LRCX,2026-06-17,2026-06-16T23:59:00+00:00,0.26,2026-05-20,2026-05-20,0.2600000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investor.lamresearch.com/dividend-history,2026-05-21,0.26
rAVGO-2026-06-22-1,rAVGO,AVGO,2026-06-22,2026-06-18T23:59:00+00:00,0.65,2026-06-02,2026-06-02,0.6500000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-second-quarter-fiscal-year-2026-financial,2026-06-03,0.65
rQQQ-2026-06-22-1,rQQQ,QQQ,2026-06-22,2026-06-18T23:59:00+00:00,0.81349,2026-06-18,2026-06-18,0.8134900000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rVST-2026-06-22-1,rVST,VST,2026-06-22,2026-06-18T23:59:00+00:00,0.229,2026-04-30,2026-04-30,0.2290000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rAVL-2026-06-23-1,rAVL,AVL,2026-06-23,2026-06-22T23:53:00+00:00,0.20039,2026-06-22,2026-06-22,0.2003900000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rLABD-2026-06-23-1,rLABD,LABD,2026-06-23,2026-06-22T23:59:00+00:00,0.07523,2026-06-22,2026-06-22,0.0752300000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
