event,bitget_spot,perp_exists,perp_dps,perp_settle,platform_turnover_24h,tape_turnover_24h,ratio
rAVGO-2026-06-22-1,0.65,True,0.65,06-19 00:00,392763.4356,5964259561.5577,1.0
rAVL-2026-06-23-1,0.20039,False,,,124.0844,12117898.3101,
rCRCA-2026-06-24-1,0.181138,False,,,42728.514,17166507.817,
rFTGC-2026-06-25-1,0.1691,False,,,0.0,27803983.0016,
rLABD-2026-06-23-1,0.07523,False,,,99.9354,74345105.7591,
rPSQ-2026-06-24-1,0.228579,False,,,0.0,121387626.1409,
rSOXS-2026-06-23-1,0.0375,True,,,7435.9682,818014004.8336,
rSPXU-2026-06-24-1,0.391445,False,,,47.5942,102904745.0,
rSQQQ-2026-06-24-1,0.637637,True,,,2380.0728,662150362.0344,
rSTM-2026-06-23-1,0.0765,False,,,0.0,282164830.3488,
rTQQQ-2026-06-24-1,0.171229,True,,,59887.9822,1283310261.1409,
rTZA-2026-06-23-1,0.03768,True,,,0.0,75646597.2474,
rUPRO-2026-06-24-1,0.298729,False,,,143.69,102891842.3638,
rVOO-2026-06-26-1,1.9622,True,,,4638.787,5812499867.862,
rVST-2026-06-22-1,0.229,True,,,964.347,654513116.1698,
rVTV-2026-06-26-1,1.0818,False,,,0.0,228503847.481,
rYANG-2026-06-23-1,0.16314,False,,,170.8819,15464271.7879,
rYINN-2026-06-23-1,0.20943,False,,,0.0,14543211.493,
rDGRW-2026-06-25-1,0.16,False,,,516.9029,28563232.7571,
rSCHD-2026-06-24-1,0.2525,False,,,4637.4922,396525928.7531,
rKO-2026-06-15-1,0.53,True,,,16474.7206,830456772.3212,
rCRM-2026-06-11-1,0.44,True,,,1765.0738,2358222233.0771,
rPAVE-2026-06-29-1,0.102695,False,,,0.0,75618205.5149,
rFLQL-2026-06-26-1,0.2235,False,,,0.0,2540943.3008,
rHYS-2026-07-01-1,0.57,False,,,0.0,3797871.7846,
rSTX-2026-06-24-1,0.74,True,,,49011.5939,2210141228.316,
rSGOV-2026-07-01-1,0.295765,True,,,6034.2536,1258937003.5241,
rCLOI-2026-07-01-1,0.2051,False,,,0.0,14161493.3964,
rCOPX-2026-06-29-1,0.257976,False,,,1288.4456,108785837.3726,
rLIT-2026-06-29-1,0.324862,True,,,0.0,9873985.8021,
rTLT-2026-07-01-1,0.31803,False,,,109426.043,1856089473.1396,
rBOTZ-2026-06-29-1,0.017986,True,,,234.385,14122820.4954,
rBITI-2026-07-01-1,1.448766,False,,,0.0,44687222.2572,
rLRCX-2026-06-17-1,0.26,True,,,22215.7487,1765681732.1,
rBITO-2026-07-01-1,0.010375,True,,,24029.0766,709048876.139,
rNXPI-2026-06-24-1,0.8619,False,,,0.0,381941278.2,
rTSM-2026-06-11-1,0.742067,True,,,50237.1575,2640526430.173,
rMO-2026-06-15-1,1.06,False,,,0.0,530091720.0464,
rHIMX-2026-06-30-1,0.242,False,,,0.0,15541765.9446,
rQQQ-2026-06-22-1,0.81349,True,,,227656.3983,13352147462.0085,
rSATA-2026-07-09-1,0.0493,False,,,0.0,45603780.1525,
rSATA-2026-07-10-2,0.0493,False,,,0.0,45603780.1525,
rPWR-2026-07-01-1,0.11,False,,,0.0,379886896.2805,
rBABA-2026-06-11-1,1.03,True,,,11518.4786,644402535.9098,
rGEV-2026-06-16-1,0.5,True,,,9146.005,1099762958.62947,
rGFS-2026-06-24-1,0.12,True,,,118.9518,132687901.4105,
rSATA-2026-07-13-3,0.0493,False,,,0.0,45603780.1525,
rHPE-2026-06-16-1,0.1425,True,,,3117.7091,1054067009.5395,
rMPWR-2026-06-30-1,2.0,False,,,31.6172,494585521.20191,
rHEI-2026-07-01-1,0.13,False,,,0.0,121664372.3348,
rAPH-2026-06-23-1,0.25,False,,,0.0,527687027.9554,
rSTRC-2026-06-30-1,0.479166,True,,,547.5057,141343893.5998,
rPCG-2026-06-30-1,0.05,False,,,230.0048,284170375.708,
rSATA-2026-07-14-4,0.0493,False,,,0.0,45603780.1525,
rOPRA-2026-07-07-1,0.39,False,,,0.0,4438875.6207,
rINTU-2026-07-09-1,1.2,False,,,521.2218,760109129.1639,
rMDT-2026-06-26-1,0.54,False,,,0.0,564380321.5571,
rPM-2026-06-25-1,1.47,False,,,0.0,657974303.695,
rMU-2026-07-06-1,0.15,True,0.15,07-03 00:00,290798.2893,11041615696.17461,1.0
rSATA-2026-07-21-5,0.0493,False,,,0.0,45603780.1525,
rCSCO-2026-07-06-1,0.42,True,0.42,07-03 00:00,1469.7517,1365885877.3164,1.0
rCMCSA-2026-07-01-1,0.33,True,0.33,07-01 00:00,0.0,552114542.0594,1.0
rDIS-2026-06-30-1,0.75,False,,,0.0,803812318.4395,
