ev,yld,pre30_vol,post30_vol,post30_bars,post_bars_traded
rAVGO-2026-06-22-1,0.15858299990241045,0.0,0.0,0,0
rAVL-2026-06-23-1,0.41548828529960613,72260.50450000001,26934.29,16,16
rCRCA-2026-06-24-1,0.8949505928853755,79788.0462,23171.6,8,8
rFTGC-2026-06-25-1,0.6270859600979011,0.0,0.0,0,0
rLABD-2026-06-23-1,0.7511732401397904,26519.932500000003,4990.25,3,3
rPSQ-2026-06-24-1,0.880165575664228,576568.8200000001,114792.81999999999,10,10
rSPXU-2026-06-24-1,0.9985841836734693,753754.8706,2160036.8,17,17
rSQQQ-2026-06-24-1,1.5870697165044678,13459789.142816037,8726844.28,30,30
rSTM-2026-06-23-1,0.09614780368252372,67870.796,95158.51000000001,18,18
rTQQQ-2026-06-24-1,0.22785266603680684,26176569.696367726,26992695.4,30,30
rUPRO-2026-06-24-1,0.21964237134853354,2646235.339158587,1905093.68,25,25
rVOO-2026-06-26-1,0.2904841352908172,5607738.024090682,3681107.16,29,29
rVST-2026-06-22-1,0.1399755501222494,0.0,0.0,0,0
rVTV-2026-06-26-1,0.48953548883408377,22098.5,220.48,1,1
rYANG-2026-06-23-1,0.47068667051356033,30679.8388,2251.31,3,3
rYINN-2026-06-23-1,0.8099860767326733,116711.6052,0.0,1,0
rDGRW-2026-06-25-1,0.16867139649374335,0.0,0.0,0,0
rSCHD-2026-06-24-1,0.7880774032459426,366693.64179977303,976559.96,28,28
rKO-2026-06-15-1,0.6411807403822889,436494.2529787692,0.0,1,0
rCRM-2026-06-11-1,0.2586333578251286,651178.5722,46522.38999999999,12,12
rPAVE-2026-06-29-1,0.17477025187202178,16318.73,0.0,0,0
rFLQL-2026-06-26-1,0.29059562351289153,0.0,0.0,0,0
rHYS-2026-07-01-1,0.6095604748155277,0.0,0.0,0,0
rSTX-2026-06-24-1,0.07105109533904815,2182926.6875649258,793655.0600000002,26,26
rSGOV-2026-07-01-1,0.29381115581383793,3606814.404121061,4940587.630000001,23,23
rCLOI-2026-07-01-1,0.38734655335221907,0.0,0.0,0,0
rCOPX-2026-06-29-1,0.3371133616465207,27398.4552,0.0,0,0
rLIT-2026-06-29-1,0.4227221860767729,159.36876339999998,0.0,0,0
rTLT-2026-07-01-1,0.36866631890106066,1338662.9927120297,5487690.970000001,24,24
rBOTZ-2026-06-29-1,0.04929021649767058,10624.689999999999,0.0,0,0
rBITI-2026-07-01-1,4.968333333333333,62931.7144,106196.56,14,14
rLRCX-2026-06-17-1,0.07029230785868001,1271161.0764,102103.54,13,13
rBITO-2026-07-01-1,0.13058527375707993,21664.757573755,319120.02999999997,19,19
rNXPI-2026-06-24-1,0.2884586422128884,90171.42,6329.1900000000005,3,3
rTSM-2026-06-11-1,0.18230140890051713,4730890.990372128,919514.38,27,27
rMO-2026-06-15-1,1.4688968030708258,29598.1239,0.0,1,0
rHIMX-2026-06-30-1,1.6437983969569352,1684.6860000000001,1787.65,1,1
rQQQ-2026-06-22-1,0.10996050294538269,0.0,0.0,0,0
rSATA-2026-07-09-1,0.051242074628417005,962.1,0.0,0,0
rSATA-2026-07-10-2,0.0507227738052369,12538.154999999999,199.96,1,1
rPWR-2026-07-01-1,0.015293177157554483,13642.056313433699,2156.23,3,3
rBABA-2026-06-11-1,0.8958079666028874,1042276.3963957011,574411.46,17,17
rGEV-2026-06-16-1,0.05098789037603569,157883.851,60603.14000000001,14,14
rGFS-2026-06-24-1,0.1450554232596371,188773.8409,27715.629999999997,6,6
rSATA-2026-07-13-3,0.05054336682386713,0.0,0.0,1,0
rHPE-2026-06-16-1,0.291984263584952,1858352.347604402,25982.730000000003,11,11
rMPWR-2026-06-30-1,0.15281231972921655,54980.164000000004,44477.55,3,3
rHEI-2026-07-01-1,0.03666102650874224,0.0,0.0,0,0
rSTRC-2026-06-30-1,0.5712517882689556,477735.317,80631.43,16,16
rPCG-2026-06-30-1,0.29078220412910727,1100.48,0.0,0,0
rSATA-2026-07-14-4,0.05096133967335125,967.4,0.0,0,0
rOPRA-2026-07-07-1,1.8867924528301885,675.16334744,0.0,0,0
rINTU-2026-07-09-1,0.4394719012653128,71838.89699999998,1358.28,2,2
rMDT-2026-06-26-1,0.6691781500941807,90370.59890000001,400.23,1,1
rPM-2026-06-25-1,0.8258241387833982,0.0,352.98,1,1
rMU-2026-07-06-1,0.014690327888118462,0.0,558.3019423,1,1
rSATA-2026-07-21-5,0.050352364416300685,293.73,0.0,0,0
rCMCSA-2026-07-01-1,1.342281879194631,142453.9475,35405.03999999999,8,8
rDIS-2026-06-30-1,0.7598399270553671,220126.00173373998,5123.37,3,3
