symbol,bid,ask,spread_bp,top_ask_usdt,top_bid_usdt,ts
RAPHUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RAVGOUSDT,341.43,341.71,8.19744122727326,130.22568099999998,199.12197600000002,2026-09-16T11:25:34.727073+00:00
RAVLUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RBABAUSDT,108.93,109.07,12.844036697246455,242.64802899999998,474.880335,2026-09-16T11:25:34.727073+00:00
RBITIUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RBITOUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RBOTZUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RCLOIUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RCMCSAUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RCOPXUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RCRCAUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RCRMUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RCSCOUSDT,110.87,111.08,18.923180896597767,484.653148,118.309377,2026-09-16T11:25:34.727073+00:00
RDGRWUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RDISUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RFLQLUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RFTGCUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RGEVUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RGFSUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RHEIUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RHIMXUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RHPEUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RHYSUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RINTUUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RKOUSDT,88.46,88.64,20.327498588368925,212.736,770.0089159999999,2026-09-16T11:25:34.727073+00:00
RLABDUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RLITUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RLRCXUSDT,273.68,276.68,109.01955083945055,241.707648,183.91296000000003,2026-09-16T11:25:34.727073+00:00
RMDTUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RMOUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RMPWRUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RMUUSDT,935.11,935.33,2.3523876734888827,241.89504460000003,20671.7754375,2026-09-16T11:25:34.727073+00:00
RNXPIUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
ROPRAUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RPAVEUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RPCGUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RPMUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RPSQUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RPWRUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RQQQUSDT,708.04,708.64,8.470508512861377,20919.052799999998,19711.833599999998,2026-09-16T11:25:34.727073+00:00
RSATAUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RSCHDUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RSGOVUSDT,100.61,100.66,4.968450340338566,280.23744,265.60033899999996,2026-09-16T11:25:34.727073+00:00
RSOXSUSDT,49.08,49.12,8.146639511201457,178.703472,260.85038399999996,2026-09-16T11:25:34.727073+00:00
RSPXUUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RSQQQUSDT,40.07,40.12,12.470382840752503,152.54025199999998,391.8846,2026-09-16T11:25:34.727073+00:00
RSTMUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RSTRCUSDT,97.47,97.68,21.521906225980832,317.889792,217.250883,2026-09-16T11:25:34.727073+00:00
RSTXUSDT,782.57,783.79,15.577517301257865,7593.044003999999,5623.939305,2026-09-16T11:25:34.727073+00:00
RTLTUSDT,80.99,81.05,7.4055788694152405,767.9649599999999,168.28102199999998,2026-09-16T11:25:34.727073+00:00
RTQQQUSDT,68.82,68.91,13.069048137661136,727.682709,299.896914,2026-09-16T11:25:34.727073+00:00
RTSMUSDT,417.24,417.65,9.821653151911466,216.63505500000002,195.226596,2026-09-16T11:25:34.727073+00:00
RTZAUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RUPROUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RVOOUSDT,698.5,698.84,4.86638899623616,598.766112,563.2704,2026-09-16T11:25:34.727073+00:00
RVSTUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RVTVUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RYANGUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
RYINNUSDT,,,,0.0,0.0,2026-09-16T11:25:34.727073+00:00
